Variável,Teste,P_Valor,Media_Classe_0,Media_Classe_1,Diferenca_Medias_Abs,Base,Alpha,Selecionada,Motivo_Selecao
Max_Drawdown_Anual,Mann-Whitney U,1.618897495530851e-56,-0.45355654352158414,-0.28133728869405245,0.1722192548275317,Base Principal,0.05,True,p-valor <= alpha no treino
Volatilidade_Anual,Mann-Whitney U,4.057489386605065e-11,0.4848451790121487,1.3457460893981925,0.8609009103860439,Base Principal,0.05,True,p-valor <= alpha no treino
F_Score,Mann-Whitney U,6.732868090784641e-09,3.7111111111111112,4.320960698689956,0.6098495875788448,Base Principal,0.05,True,p-valor <= alpha no treino
Crescimento_Receita,Mann-Whitney U,2.8517572034812684e-07,0.3417934279201062,0.4792457144859741,0.1374522865658679,Base Principal,0.05,True,p-valor <= alpha no treino
ROIC_Premio_Risco,Mann-Whitney U,4.3993070500631057e-07,-0.019100519526092572,0.00275065630222063,0.021851175828313203,Base Principal,0.05,True,p-valor <= alpha no treino
ROE_Premio_Risco,Mann-Whitney U,1.9271325346603817e-05,-0.11215374490925464,0.05619213577969392,0.16834588068894857,Base Principal,0.05,True,p-valor <= alpha no treino
Beta_Ibov_Anual,Mann-Whitney U,2.8957198077092794e-05,0.847706935773545,0.799414649112413,0.048292286661131945,Base Principal,0.05,True,p-valor <= alpha no treino
Amplitude_Intradiaria_Media,Mann-Whitney U,6.517639883415545e-05,0.03813809434091876,0.03566294978362536,0.0024751445572934044,Base Principal,0.05,True,p-valor <= alpha no treino
Negocios_Medio_Diario,Mann-Whitney U,0.00014158701604204374,8447.591850281338,6960.049948379924,1487.5419019014143,Base Principal,0.05,True,p-valor <= alpha no treino
Margem_Liquida,Mann-Whitney U,0.00029884755388368515,-1.7825112266637182,-2.3105421893786406,0.5280309627149224,Base Principal,0.05,True,p-valor <= alpha no treino
Log_Ativo_Total,Mann-Whitney U,0.011235193481597768,16.105046041672537,15.847609787649368,0.25743625402316894,Base Principal,0.05,True,p-valor <= alpha no treino
Liquidez_Anual_Log,Mann-Whitney U,0.03251398946823414,22.24402015637288,22.022879176490104,0.22114097988277592,Base Principal,0.05,True,p-valor <= alpha no treino
Volume_Financeiro_Medio_Diario,Mann-Whitney U,0.03315813944827049,81618496.7568154,81068974.41292742,549522.3438879848,Base Principal,0.05,True,p-valor <= alpha no treino
Segmento_Tradicional,Qui-quadrado,0.0710961297310801,0.08034188034188035,0.05021834061135371,0.030123539730526637,Base Principal,0.05,False,Não selecionada pelo filtro estatístico
Retorno_Ano_Anterior,Mann-Whitney U,0.18618975866518273,0.4780707561704292,0.29807461662435175,0.17999613954607746,Base Principal,0.05,False,Não selecionada pelo filtro estatístico
Segmento_Novo_Mercado,Qui-quadrado,0.20860681079279506,0.6803418803418804,0.7183406113537117,0.03799873101183138,Base Principal,0.05,False,Não selecionada pelo filtro estatístico
